transaction_id,user_id,transaction_amount,transaction_time,location,device,merchant_category,payment_method,is_fraud
TXN012299,USER0680,3587.68,2023-01-01 09:31:00,Bangalore,Mac,Entertainment,Net Banking,0
TXN032499,USER0556,728.38,2023-01-01 09:34:00,Chennai,iOS,Utilities,UPI,0
TXN005809,USER0585,915.14,2023-01-01 09:42:00,Chennai,Windows,Food,UPI,0
TXN010158,USER0400,1525.57,2023-01-01 09:48:00,Pune,Windows,Retail,Debit Card,0
TXN007213,USER0785,1413.75,2023-01-01 09:49:00,Kolkata,Android,Utilities,Net Banking,0
TXN044190,USER0709,67.9,2023-01-01 09:51:00,Pune,Windows,Food,Net Banking,0
TXN030685,USER0182,424.43,2023-01-01 09:52:00,Delhi,iOS,Utilities,Debit Card,0
TXN036818,USER0301,398.01,2023-01-01 10:04:00,Delhi,Windows,Retail,Debit Card,0
TXN005973,USER0053,303.81,2023-01-01 10:06:00,Delhi,Windows,Electronics,Net Banking,0
TXN034773,USER0421,7372.34,2023-01-01 10:07:00,Pune,Android,Food,UPI,0
TXN002943,USER0942,2782.6,2023-01-01 10:13:00,Ahmedabad,Windows,Electronics,UPI,0
TXN049652,USER0964,2266.09,2023-01-01 10:18:00,Chennai,Mac,Entertainment,Net Banking,0
TXN048721,USER0392,2080.08,2023-01-01 10:23:00,Delhi,iOS,Retail,Credit Card,0
TXN031692,USER0179,735.59,2023-01-01 10:29:00,Delhi,Mac,Travel,Debit Card,0
TXN029451,USER0717,885.54,2023-01-01 10:44:00,Kolkata,iOS,Retail,Debit Card,0
TXN021235,USER0642,6131.68,2023-01-01 10:45:00,Chennai,Windows,Utilities,Debit Card,0
TXN041451,USER0646,207.17,2023-01-01 10:49:00,Pune,iOS,Retail,UPI,0
TXN021253,USER0206,375.73,2023-01-01 10:51:00,Mumbai,iOS,Electronics,UPI,0
TXN015056,USER0904,2760.67,2023-01-01 11:08:00,Chennai,Windows,Electronics,UPI,0
TXN028134,USER0534,433.2,2023-01-01 11:08:00,Hyderabad,Mac,Food,Debit Card,0
TXN009896,USER0802,346.44,2023-01-01 11:18:00,Chennai,iOS,Electronics,Debit Card,0
TXN048019,USER0280,623.22,2023-01-01 11:22:00,Pune,Windows,Entertainment,UPI,0
TXN018983,USER0887,1574.1,2023-01-01 11:35:00,Kolkata,iOS,Entertainment,Debit Card,0
TXN036981,USER0757,1731.93,2023-01-01 11:35:00,Chennai,Android,Retail,Net Banking,0
TXN014490,USER0284,215.06,2023-01-01 11:40:00,Ahmedabad,Mac,Utilities,Net Banking,0
TXN025194,USER0110,1162.24,2023-01-01 11:45:00,Pune,Mac,Travel,Debit Card,0
TXN039591,USER0604,1485.72,2023-01-01 11:48:00,Pune,Windows,Utilities,Credit Card,0
TXN016029,USER0021,4075.66,2023-01-01 11:52:00,Chennai,Windows,Utilities,Debit Card,0
TXN012937,USER0676,461.19,2023-01-01 12:01:00,Chennai,Android,Food,Debit Card,0
TXN013129,USER0784,1324.07,2023-01-01 12:03:00,Delhi,iOS,Utilities,UPI,0
TXN043075,USER0773,2437.07,2023-01-01 12:08:00,Chennai,iOS,Utilities,Debit Card,0
TXN015618,USER0810,363.56,2023-01-01 12:19:00,Pune,Mac,Travel,Credit Card,0
TXN002597,USER0737,1052.16,2023-01-01 12:22:00,Delhi,Mac,Food,Net Banking,0
TXN018895,USER0325,469.01,2023-01-01 12:30:00,Kolkata,iOS,Travel,Net Banking,0
TXN032698,USER0656,697.92,2023-01-01 12:32:00,Bangalore,Android,Food,UPI,0
TXN024736,USER0349,651.26,2023-01-01 12:33:00,Hyderabad,iOS,Travel,Credit Card,0
TXN008607,USER0388,4238.27,2023-01-01 12:43:00,Bangalore,Android,Food,Net Banking,0
TXN039945,USER0563,2856.15,2023-01-01 12:44:00,Bangalore,Android,Utilities,Debit Card,0
TXN021717,USER0650,2253.98,2023-01-01 12:46:00,Pune,Windows,Electronics,Debit Card,0
TXN002187,USER0312,4028.87,2023-01-01 12:49:00,Hyderabad,Mac,Entertainment,Credit Card,0
TXN007087,USER0104,86.51,2023-01-01 12:57:00,Ahmedabad,Mac,Entertainment,Credit Card,0
TXN037344,USER0120,3153.37,2023-01-01 12:58:00,Kolkata,iOS,Electronics,Net Banking,0
TXN042853,USER0494,459.85,2023-01-01 13:00:00,Hyderabad,Mac,Retail,Debit Card,0
TXN044101,USER0561,1639.54,2023-01-01 13:12:00,Kolkata,Mac,Retail,UPI,0
TXN029230,USER0819,948.79,2023-01-01 13:17:00,Ahmedabad,iOS,Retail,Debit Card,0
TXN047942,USER0538,1008.15,2023-01-01 13:17:00,Pune,Android,Utilities,Debit Card,0
TXN049061,USER0024,341.76,2023-01-01 13:21:00,Chennai,Android,Food,UPI,0
TXN016312,USER0878,1437.42,2023-01-01 13:25:00,Kolkata,iOS,Food,Credit Card,0
TXN013563,USER0087,1904.72,2023-01-01 13:30:00,Pune,iOS,Entertainment,Debit Card,0
TXN005474,USER0352,3494.16,2023-01-01 13:31:00,Chennai,iOS,Retail,Debit Card,0
TXN011891,USER0092,1762.47,2023-01-01 13:32:00,Delhi,Android,Retail,Debit Card,0
TXN018412,USER0634,670.87,2023-01-01 13:46:00,Hyderabad,Mac,Electronics,Debit Card,0
TXN011017,USER0338,682.34,2023-01-01 13:46:00,Delhi,iOS,Entertainment,Credit Card,0
TXN021946,USER0160,1842.74,2023-01-01 13:54:00,Hyderabad,iOS,Travel,UPI,0
TXN038441,USER0285,7837.38,2023-01-01 14:05:00,Chennai,Windows,Food,UPI,0
TXN003843,USER0165,3700.94,2023-01-01 14:07:00,Bangalore,Android,Food,Debit Card,0
TXN020555,USER0672,122.33,2023-01-01 14:12:00,Hyderabad,iOS,Retail,Debit Card,0
TXN001926,USER0075,49.01,2023-01-01 14:14:00,Delhi,iOS,Retail,Credit Card,0
TXN048709,USER0580,2056.23,2023-01-01 14:18:00,Chennai,Android,Entertainment,Credit Card,0
TXN043944,USER0340,487.83,2023-01-01 14:19:00,Delhi,iOS,Food,UPI,0
TXN013362,USER0613,2387.44,2023-01-01 14:19:00,Bangalore,Android,Retail,Credit Card,0
TXN021683,USER0375,4087.22,2023-01-01 14:21:00,Mumbai,Mac,Entertainment,Net Banking,0
TXN009609,USER0367,930.53,2023-01-01 14:38:00,Bangalore,Mac,Food,Credit Card,0
TXN035385,USER0923,998.27,2023-01-01 14:41:00,Pune,Mac,Electronics,Credit Card,0
TXN028577,USER0896,2461.89,2023-01-01 14:42:00,Mumbai,iOS,Retail,Debit Card,0
TXN007947,USER0996,502.66,2023-01-01 14:43:00,Delhi,Android,Utilities,Debit Card,0
TXN004415,USER0642,3364.81,2023-01-01 14:51:00,Chennai,Windows,Utilities,Net Banking,0
TXN030766,USER0438,259.78,2023-01-01 15:06:00,Hyderabad,Mac,Utilities,Net Banking,0
TXN004218,USER0726,300.86,2023-01-01 15:12:00,Chennai,Android,Electronics,UPI,0
TXN035574,USER0861,1869.64,2023-01-01 15:17:00,Mumbai,Mac,Electronics,Net Banking,0
TXN033844,USER0176,1980.34,2023-01-01 15:18:00,Mumbai,Android,Retail,Net Banking,0
TXN006151,USER0197,592.69,2023-01-01 15:26:00,Pune,Mac,Utilities,Debit Card,0
TXN037403,USER0535,456.63,2023-01-01 15:31:00,Ahmedabad,iOS,Electronics,UPI,0
TXN006312,USER0983,462.54,2023-01-01 15:45:00,Delhi,Android,Electronics,Debit Card,0
TXN038269,USER0837,4783.58,2023-01-01 15:50:00,Chennai,Windows,Travel,Credit Card,0
TXN012145,USER0282,1862.11,2023-01-01 15:57:00,Pune,iOS,Entertainment,UPI,0
TXN020370,USER0326,361.86,2023-01-01 15:59:00,Mumbai,Windows,Travel,Net Banking,0
TXN006066,USER0581,1933.57,2023-01-01 16:08:00,Hyderabad,Mac,Food,Credit Card,0
TXN012155,USER0452,1079.79,2023-01-01 16:11:00,Chennai,Android,Food,UPI,0
TXN046055,USER0279,1272.99,2023-01-01 16:13:00,Ahmedabad,Android,Electronics,Net Banking,0
TXN016256,USER0918,1560.53,2023-01-01 16:16:00,Kolkata,iOS,Utilities,Net Banking,0
TXN025239,USER0240,2651.25,2023-01-01 16:27:00,Pune,iOS,Electronics,Net Banking,0
TXN006442,USER0583,1483.09,2023-01-01 16:32:00,Hyderabad,Windows,Utilities,Net Banking,0
TXN012370,USER0414,3587.55,2023-01-01 16:33:00,Bangalore,Windows,Travel,UPI,0
TXN038909,USER0421,10654.89,2023-01-01 16:34:00,Pune,Android,Travel,Credit Card,0
TXN042209,USER0328,2527.08,2023-01-01 16:38:00,Delhi,Mac,Electronics,Net Banking,0
TXN021271,USER0972,481.46,2023-01-01 16:40:00,Bangalore,iOS,Retail,Net Banking,0
TXN029080,USER0107,7920.63,2023-01-01 16:41:00,Chennai,Android,Food,Debit Card,0
TXN019255,USER0214,1441.39,2023-01-01 16:51:00,Bangalore,Mac,Electronics,Credit Card,0
TXN035814,USER0250,1201.71,2023-01-01 17:03:00,Ahmedabad,iOS,Entertainment,Net Banking,0
TXN030486,USER0832,313.83,2023-01-01 17:13:00,Mumbai,Android,Food,Credit Card,0
TXN016885,USER0973,2011.83,2023-01-01 17:15:00,Mumbai,Android,Food,Credit Card,0
TXN047169,USER0531,1221.54,2023-01-01 17:19:00,Pune,Windows,Travel,UPI,0
TXN045993,USER0627,313.19,2023-01-01 17:26:00,Ahmedabad,Android,Utilities,UPI,0
TXN042834,USER0067,1747.77,2023-01-01 17:33:00,Delhi,Mac,Retail,Debit Card,0
TXN030218,USER0694,2038.76,2023-01-01 17:33:00,Chennai,iOS,Electronics,Credit Card,0
TXN018824,USER0283,5031.99,2023-01-01 17:49:00,Chennai,Mac,Retail,Net Banking,0
TXN035589,USER0297,3367.47,2023-01-01 18:01:00,Delhi,Mac,Travel,Debit Card,0
TXN001479,USER0394,5417.94,2023-01-01 18:07:00,Chennai,Mac,Utilities,Net Banking,0
TXN045640,USER0117,649.13,2023-01-01 18:44:00,Chennai,iOS,Electronics,Net Banking,0
TXN035313,USER0540,803.15,2023-01-01 18:48:00,Kolkata,Windows,Travel,Debit Card,0
TXN044366,USER0198,1929.66,2023-01-01 19:01:00,Ahmedabad,Mac,Retail,UPI,0
TXN046364,USER0121,2373.82,2023-01-01 19:05:00,Mumbai,Android,Travel,Credit Card,0
TXN020326,USER0842,1763.17,2023-01-01 19:08:00,Delhi,Mac,Retail,Debit Card,0
TXN013182,USER0632,3757.77,2023-01-01 19:14:00,Kolkata,Android,Utilities,Net Banking,0
TXN036085,USER0675,130.7,2023-01-01 19:25:00,Delhi,Android,Electronics,UPI,0
TXN043741,USER0981,1785.97,2023-01-01 19:29:00,Mumbai,iOS,Food,Net Banking,0
TXN007149,USER0452,2106.93,2023-01-01 19:37:00,Chennai,Android,Utilities,Net Banking,0
TXN039577,USER0556,820.0,2023-01-01 20:11:00,Chennai,iOS,Food,Credit Card,0
TXN011007,USER0395,3725.09,2023-01-01 20:40:00,Kolkata,Mac,Food,Debit Card,0
TXN000533,USER0301,525.81,2023-01-01 21:25:00,Delhi,Windows,Entertainment,Debit Card,0
TXN013836,USER0576,125.93,2023-01-01 21:28:00,Chennai,iOS,Travel,UPI,0
TXN005199,USER0713,511.99,2023-01-01 22:13:00,Delhi,Windows,Food,Net Banking,0
TXN014592,USER0990,685.56,2023-01-01 22:35:00,Kolkata,Windows,Entertainment,Credit Card,0
TXN020656,USER0159,357.22,2023-01-01 23:19:00,Pune,iOS,Food,Credit Card,0
TXN022522,USER0924,733.36,2023-01-01 23:29:00,Kolkata,Android,Food,Credit Card,0
TXN015287,USER0261,399.2,2023-01-01 23:34:00,Mumbai,iOS,Retail,Debit Card,0
TXN032612,USER0158,4316.52,2023-01-02 01:34:00,Hyderabad,iOS,Food,Net Banking,1
TXN011871,USER0939,1191.28,2023-01-02 04:40:00,Kolkata,iOS,Retail,Net Banking,0
TXN031351,USER0253,6075.44,2023-01-02 04:45:00,Hyderabad,Mac,Utilities,Net Banking,0
TXN042869,USER0224,1562.09,2023-01-02 05:15:00,Chennai,Windows,Food,Debit Card,1
TXN011720,USER0099,5321.92,2023-01-02 05:43:00,Bangalore,Windows,Utilities,Debit Card,1
TXN000903,USER0979,216.22,2023-01-02 06:16:00,Hyderabad,Android,Food,Credit Card,0
TXN008188,USER0663,260.97,2023-01-02 06:33:00,Pune,Windows,Utilities,Net Banking,0
TXN044561,USER0019,354.51,2023-01-02 06:35:00,Ahmedabad,Android,Electronics,Credit Card,0
TXN023702,USER0291,860.54,2023-01-02 06:39:00,Kolkata,iOS,Travel,Credit Card,0
TXN019029,USER0910,11906.64,2023-01-02 06:43:00,Kolkata,iOS,Travel,Credit Card,0
TXN043284,USER0887,1765.68,2023-01-02 06:59:00,Kolkata,iOS,Retail,Credit Card,0
TXN013587,USER0963,1206.18,2023-01-02 07:10:00,Ahmedabad,Android,Travel,Credit Card,0
TXN021433,USER0280,800.94,2023-01-02 07:13:00,Pune,Windows,Utilities,Debit Card,0
TXN007951,USER0794,408.34,2023-01-02 07:24:00,Chennai,Android,Electronics,Net Banking,0
TXN025384,USER0425,1351.52,2023-01-02 07:43:00,Hyderabad,Windows,Entertainment,Credit Card,0
TXN047195,USER0857,489.08,2023-01-02 08:10:00,Chennai,Mac,Travel,Debit Card,0
TXN025955,USER0317,1993.59,2023-01-02 08:16:00,Bangalore,Windows,Utilities,Debit Card,0
TXN023082,USER0819,1320.9,2023-01-02 08:17:00,Ahmedabad,iOS,Entertainment,Net Banking,0
TXN016988,USER0942,2974.03,2023-01-02 08:21:00,Ahmedabad,Windows,Electronics,UPI,0
TXN035719,USER0620,1274.84,2023-01-02 08:32:00,Chennai,Android,Electronics,Net Banking,0
TXN025039,USER0766,307.78,2023-01-02 08:36:00,Chennai,Mac,Food,Net Banking,0
TXN034464,USER0467,2206.76,2023-01-02 08:39:00,Bangalore,Windows,Utilities,Debit Card,0
TXN047570,USER0238,977.51,2023-01-02 09:02:00,Mumbai,Windows,Entertainment,Debit Card,0
TXN016721,USER0853,700.75,2023-01-02 09:06:00,Bangalore,Windows,Entertainment,Net Banking,0
TXN046614,USER0369,879.67,2023-01-02 09:11:00,Ahmedabad,Windows,Entertainment,Credit Card,0
TXN029160,USER0327,2371.58,2023-01-02 09:16:00,Ahmedabad,Android,Utilities,Net Banking,0
TXN032781,USER0466,771.27,2023-01-02 09:19:00,Kolkata,Windows,Retail,Debit Card,0
TXN038163,USER0408,802.25,2023-01-02 09:33:00,Hyderabad,Mac,Food,Credit Card,0
TXN020842,USER0654,320.63,2023-01-02 09:34:00,Ahmedabad,iOS,Electronics,UPI,0
TXN021283,USER0475,4417.58,2023-01-02 09:38:00,Delhi,Mac,Travel,Credit Card,0
TXN005757,USER0292,415.4,2023-01-02 10:10:00,Ahmedabad,iOS,Electronics,Net Banking,0
TXN029638,USER0015,127.14,2023-01-02 10:14:00,Delhi,Android,Retail,Credit Card,0
TXN038364,USER0024,342.46,2023-01-02 10:16:00,Chennai,Android,Food,Debit Card,0
TXN007270,USER0068,3184.4,2023-01-02 10:20:00,Mumbai,Android,Utilities,Net Banking,0
TXN002794,USER0113,321.06,2023-01-02 10:21:00,Mumbai,Android,Food,UPI,0
TXN028723,USER0999,791.27,2023-01-02 10:23:00,Pune,iOS,Retail,UPI,0
TXN002591,USER0494,302.68,2023-01-02 10:25:00,Hyderabad,Mac,Utilities,Debit Card,0
TXN038624,USER0881,14604.48,2023-01-02 10:26:00,Chennai,Windows,Utilities,Credit Card,0
TXN038234,USER0986,273.9,2023-01-02 10:27:00,Kolkata,Mac,Utilities,Net Banking,0
TXN038176,USER0042,1106.17,2023-01-02 10:33:00,Chennai,iOS,Food,Debit Card,0
TXN021209,USER0558,529.64,2023-01-02 10:44:00,Chennai,Android,Electronics,Debit Card,0
TXN002443,USER0453,289.79,2023-01-02 10:47:00,Mumbai,Windows,Utilities,Credit Card,0
TXN033798,USER0326,1959.24,2023-01-02 10:49:00,Mumbai,Android,Entertainment,Net Banking,1
TXN016037,USER0900,562.26,2023-01-02 10:51:00,Delhi,iOS,Utilities,Credit Card,0
TXN001108,USER0097,1597.21,2023-01-02 10:53:00,Pune,iOS,Retail,Net Banking,0
TXN027156,USER0010,1203.46,2023-01-02 11:00:00,Ahmedabad,Windows,Travel,Debit Card,0
TXN004559,USER0941,201.82,2023-01-02 11:07:00,Ahmedabad,iOS,Utilities,Credit Card,0
TXN033125,USER0762,1357.63,2023-01-02 11:25:00,Bangalore,Mac,Electronics,Credit Card,0
TXN020800,USER0747,921.25,2023-01-02 11:26:00,Mumbai,Android,Utilities,Net Banking,0
TXN019744,USER0929,3511.94,2023-01-02 11:34:00,Chennai,Mac,Food,Net Banking,0
TXN026323,USER0373,4005.9,2023-01-02 11:38:00,Pune,Mac,Food,Debit Card,0
TXN008652,USER0285,11331.13,2023-01-02 11:38:00,Chennai,Windows,Retail,Credit Card,0
TXN016308,USER0170,625.98,2023-01-02 12:03:00,Hyderabad,iOS,Electronics,Credit Card,0
TXN027761,USER0156,533.67,2023-01-02 12:16:00,Mumbai,Windows,Retail,UPI,0
TXN017416,USER0973,2069.9,2023-01-02 12:17:00,Kolkata,Android,Entertainment,Debit Card,0
TXN034443,USER0783,1681.3,2023-01-02 12:18:00,Kolkata,Mac,Utilities,Net Banking,0
TXN007406,USER0884,2212.62,2023-01-02 12:20:00,Pune,Windows,Entertainment,Net Banking,0
TXN031755,USER0428,2085.27,2023-01-02 12:28:00,Delhi,Mac,Utilities,Credit Card,0
TXN003509,USER0325,346.67,2023-01-02 12:31:00,Kolkata,iOS,Food,Debit Card,0
TXN046431,USER0269,880.6,2023-01-02 12:35:00,Chennai,Android,Entertainment,UPI,0
TXN005221,USER0110,1373.87,2023-01-02 12:35:00,Pune,Mac,Entertainment,Credit Card,0
TXN044154,USER0349,451.31,2023-01-02 12:41:00,Chennai,iOS,Electronics,Net Banking,0
TXN025242,USER0550,505.88,2023-01-02 12:46:00,Chennai,Windows,Retail,Credit Card,0
TXN010604,USER0681,2746.53,2023-01-02 12:48:00,Kolkata,Android,Retail,Debit Card,0
TXN005571,USER0969,1719.56,2023-01-02 12:49:00,Delhi,iOS,Retail,Net Banking,0
TXN025563,USER0936,596.04,2023-01-02 12:49:00,Delhi,iOS,Retail,Net Banking,0
TXN041642,USER0406,2144.23,2023-01-02 12:52:00,Pune,Mac,Retail,Debit Card,0
TXN024335,USER0949,833.24,2023-01-02 12:52:00,Bangalore,Windows,Utilities,UPI,0
TXN021316,USER0481,661.77,2023-01-02 12:55:00,Delhi,Mac,Utilities,Net Banking,0
TXN028451,USER0185,902.98,2023-01-02 12:56:00,Hyderabad,Windows,Retail,Credit Card,0
TXN027141,USER0677,429.16,2023-01-02 12:56:00,Bangalore,Windows,Entertainment,Debit Card,0
TXN045508,USER0290,447.99,2023-01-02 12:57:00,Mumbai,Mac,Utilities,Debit Card,0
TXN019607,USER0190,216.0,2023-01-02 13:02:00,Kolkata,Mac,Electronics,Credit Card,0
TXN032017,USER0307,5297.85,2023-01-02 13:04:00,Ahmedabad,Windows,Utilities,UPI,0
TXN031918,USER0819,1082.96,2023-01-02 13:07:00,Ahmedabad,iOS,Entertainment,Net Banking,0
TXN045708,USER0436,1009.14,2023-01-02 13:14:00,Bangalore,iOS,Travel,Net Banking,0
TXN019908,USER0042,1197.2,2023-01-02 13:16:00,Chennai,iOS,Retail,Net Banking,0
TXN024562,USER0383,89.58,2023-01-02 13:27:00,Mumbai,iOS,Utilities,Debit Card,0
TXN005146,USER0405,662.19,2023-01-02 13:28:00,Kolkata,Windows,Food,Credit Card,0
TXN037600,USER0569,169.79,2023-01-02 13:40:00,Chennai,Windows,Travel,Credit Card,0
TXN045275,USER0435,4920.66,2023-01-02 13:41:00,Pune,iOS,Travel,Net Banking,0
TXN034323,USER0374,2568.48,2023-01-02 13:42:00,Chennai,Mac,Entertainment,UPI,0
TXN025944,USER0263,62.73,2023-01-02 13:45:00,Bangalore,iOS,Food,Debit Card,0
TXN040756,USER0989,880.11,2023-01-02 13:46:00,Chennai,iOS,Travel,UPI,0
TXN002000,USER0322,1614.39,2023-01-02 13:50:00,Delhi,Android,Electronics,Net Banking,0
TXN046912,USER0888,801.87,2023-01-02 13:51:00,Chennai,Android,Retail,Debit Card,0
TXN021637,USER0812,629.5,2023-01-02 13:56:00,Hyderabad,iOS,Food,Net Banking,0
TXN000660,USER0734,165.63,2023-01-02 14:11:00,Kolkata,Mac,Retail,Net Banking,0
TXN045774,USER0187,1070.99,2023-01-02 14:12:00,Kolkata,Windows,Food,UPI,0
TXN036987,USER0881,21097.62,2023-01-02 14:14:00,Chennai,Windows,Food,Debit Card,0
TXN034994,USER0336,1189.92,2023-01-02 14:19:00,Chennai,Mac,Travel,Debit Card,0
TXN008262,USER0041,416.31,2023-01-02 14:19:00,Ahmedabad,iOS,Travel,Debit Card,0
TXN028170,USER0299,1600.85,2023-01-02 14:37:00,Ahmedabad,Mac,Food,Net Banking,0
TXN028581,USER0234,379.73,2023-01-02 14:39:00,Pune,Mac,Utilities,Net Banking,0
TXN027173,USER0146,2734.89,2023-01-02 14:51:00,Mumbai,Android,Travel,Debit Card,0
TXN026853,USER0985,1081.67,2023-01-02 14:56:00,Hyderabad,Android,Electronics,Credit Card,0
TXN036172,USER0690,1678.36,2023-01-02 15:00:00,Chennai,Mac,Retail,Credit Card,0
TXN008337,USER0350,912.69,2023-01-02 15:01:00,Pune,Android,Utilities,Net Banking,0
TXN022417,USER0006,668.25,2023-01-02 15:09:00,Mumbai,Android,Entertainment,Net Banking,0
TXN021019,USER0152,1192.59,2023-01-02 15:23:00,Mumbai,Windows,Food,Net Banking,0
TXN034376,USER0800,1336.63,2023-01-02 15:32:00,Chennai,Android,Utilities,Debit Card,0
TXN026503,USER0292,543.78,2023-01-02 15:37:00,Ahmedabad,iOS,Utilities,Credit Card,0
TXN022217,USER0232,1500.12,2023-01-02 15:37:00,Pune,Mac,Food,Debit Card,0
TXN012440,USER0728,1680.81,2023-01-02 15:46:00,Kolkata,Android,Travel,Debit Card,0
TXN000257,USER0247,773.02,2023-01-02 15:55:00,Mumbai,Mac,Entertainment,Credit Card,0
TXN000012,USER0895,3635.15,2023-01-02 15:59:00,Hyderabad,iOS,Retail,Debit Card,0
TXN038457,USER0787,1017.99,2023-01-02 16:08:00,Kolkata,iOS,Retail,Credit Card,0
TXN047553,USER0025,378.33,2023-01-02 16:12:00,Hyderabad,Android,Utilities,Debit Card,0
TXN024868,USER0791,918.19,2023-01-02 16:16:00,Chennai,iOS,Utilities,Net Banking,0
TXN034313,USER0459,505.94,2023-01-02 16:20:00,Delhi,Android,Retail,Credit Card,0
TXN022557,USER0934,104.45,2023-01-02 16:24:00,Hyderabad,Android,Electronics,Net Banking,0
TXN037345,USER0044,711.61,2023-01-02 16:28:00,Pune,Mac,Entertainment,Credit Card,0
TXN017352,USER0084,440.08,2023-01-02 16:29:00,Ahmedabad,iOS,Electronics,Net Banking,0
TXN010299,USER0304,1640.77,2023-01-02 16:30:00,Kolkata,Mac,Electronics,UPI,0
TXN033740,USER0173,1197.57,2023-01-02 16:39:00,Chennai,Android,Food,UPI,0
TXN005279,USER0065,1013.62,2023-01-02 16:41:00,Hyderabad,Android,Electronics,Credit Card,0
TXN027484,USER0187,1268.4,2023-01-02 16:42:00,Kolkata,Windows,Utilities,Net Banking,0
TXN039774,USER0551,1266.24,2023-01-02 16:48:00,Kolkata,Android,Electronics,Net Banking,0
TXN049813,USER0573,1321.78,2023-01-02 16:56:00,Chennai,Mac,Food,Credit Card,0
TXN027002,USER0358,467.13,2023-01-02 17:13:00,Chennai,Mac,Retail,Credit Card,0
TXN015148,USER0664,430.8,2023-01-02 17:28:00,Hyderabad,Mac,Retail,UPI,0
TXN029234,USER0557,2386.16,2023-01-02 17:46:00,Ahmedabad,iOS,Food,Net Banking,1
TXN013248,USER0036,224.62,2023-01-02 17:50:00,Mumbai,Windows,Retail,Net Banking,0
TXN024117,USER0521,135.73,2023-01-02 18:11:00,Hyderabad,Android,Utilities,UPI,0
TXN019921,USER0447,1331.58,2023-01-02 18:11:00,Ahmedabad,Windows,Travel,Debit Card,0
TXN025659,USER0457,904.91,2023-01-02 18:13:00,Hyderabad,iOS,Entertainment,Net Banking,0
TXN017662,USER0196,1552.27,2023-01-02 18:18:00,Chennai,iOS,Utilities,Credit Card,0
TXN014967,USER0242,1155.14,2023-01-02 18:26:00,Chennai,Mac,Food,Credit Card,0
TXN047153,USER0231,580.36,2023-01-02 18:31:00,Hyderabad,Android,Travel,Credit Card,0
TXN022782,USER0648,1024.2,2023-01-02 18:42:00,Pune,Windows,Electronics,Credit Card,0
TXN010772,USER0026,1302.68,2023-01-02 18:47:00,Pune,Windows,Utilities,Debit Card,0
TXN024312,USER0646,805.97,2023-01-02 18:55:00,Pune,iOS,Utilities,Net Banking,0
TXN007266,USER0916,1003.37,2023-01-02 19:00:00,Ahmedabad,Windows,Retail,Credit Card,0
TXN034070,USER0236,2801.64,2023-01-02 19:03:00,Pune,Android,Retail,Debit Card,0
TXN007094,USER0315,2536.46,2023-01-02 19:03:00,Chennai,Windows,Entertainment,Debit Card,0
TXN044474,USER0079,1291.09,2023-01-02 19:08:00,Mumbai,Android,Retail,Debit Card,0
TXN024512,USER0226,3278.12,2023-01-02 19:12:00,Hyderabad,Windows,Retail,Net Banking,0
TXN030491,USER0555,1733.02,2023-01-02 19:24:00,Kolkata,Android,Entertainment,Net Banking,0
TXN007397,USER0514,454.05,2023-01-02 19:31:00,Kolkata,iOS,Electronics,UPI,0
TXN011658,USER0609,192.46,2023-01-02 19:36:00,Kolkata,iOS,Travel,Net Banking,0
TXN040364,USER0704,205.18,2023-01-02 19:39:00,Pune,Android,Electronics,Debit Card,0
